location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
20,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,17.443168214878952
21,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,30.006420481162582
22,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,18.28293217583742
23,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,6.944615210482531
24,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,18.618514105030343
25,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,153.6044307890037
26,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,177.20062834051924
27,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,80.73094390843747
28,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,10.751999894573865
29,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,63.18555769210555
30,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,5.84617311582324
31,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,7.193868049091586
32,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,4.3517272525034265
33,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,5.383197810589023
34,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,0.0
35,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,59.636883615886184
36,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,124.6102761264051
37,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,33.62225068683871
38,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,7.0408859788619065
39,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,75.39712140939761
40,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,17.99352921668086
41,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,15.21639061358936
42,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,521.5286341013554
44,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,12.691368032566626
45,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,15.020658249199991
46,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,11.407846068305334
47,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,25.509147519586392
48,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,57.93649086211876
49,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,21.68398326290545
50,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,7.251260297881971
51,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,15.154546935946684
53,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,22.648702125351193
54,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,71.11634402653483
55,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,54.70155584006859
56,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,11.662443716606393
72,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,6.902718336798382
US,2024-11-30,2,2024-12-14,wk inc covid hosp,quantile,0.025,2852.1173442404793
01,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,18.45739485941958
02,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,1.7719215432380553
04,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,312.45054382372155
05,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,12.896366918101288
06,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,141.03645113584497
08,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,43.73169208487045
09,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,16.21712695514043
10,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,6.41952796802312
11,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,9.195104993360918
12,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,56.622605686304496
13,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,11.926552564511239
15,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,5.121429905996055
16,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,3.635688638715247
17,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,72.42092918963151
18,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,51.7530740225277
19,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,11.242430445390223
20,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,14.904213185599332
21,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,26.791048844279487
22,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,16.626797568171764
23,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,6.538007513943754
24,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,17.031127780480986
25,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,144.79128773927857
26,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,149.31515733747867
27,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,67.70923035470119
28,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,9.788722498369852
29,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,61.32704939332177
30,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,5.845991038691771
31,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,6.8310812273682595
32,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,3.7867358790559287
33,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,5.381027127398949
34,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,0.0
35,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,58.96259228208802
36,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,114.92436477475846
37,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,30.05968832384215
38,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,6.503490420550891
39,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,67.93511710249213
40,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,15.509942826383583
41,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,13.863553289250254
42,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,463.7480063666036
44,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,10.825454263018262
45,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,11.901933409176495
46,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,10.328183897030124
47,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,22.171744053817232
48,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,54.251767259174144
49,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,20.560840566696882
50,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,5.978182015717637
51,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,14.2872479293613
53,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,20.47024396591036
54,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,65.13269027014486
55,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,50.25191461280711
56,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,11.25684897383245
72,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,6.910063838826055
US,2024-11-30,3,2024-12-21,wk inc covid hosp,quantile,0.025,2712.3164815969235
01,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,55.61260808404644
02,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,5.131583530947981
04,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,605.8189335364394
05,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,36.52747675050549
06,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,441.0808836924391
08,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,102.0085109989859
09,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,55.12251033980051
10,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,13.659031781930262
11,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,13.125886043175642
12,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,194.91861272459826
13,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,48.540077056993134
15,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,9.235523747934593
16,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,14.400508463625673
17,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,194.26381088871986
18,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,122.26818976195837
19,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,35.16351006642397
20,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,38.54483164655853
21,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,69.3381860722775
22,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,51.43611567942246
23,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,16.026097623812102
24,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,54.38906802939856
25,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,306.76300620632423
26,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,342.57207366616524
27,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,175.77106051209103
28,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,27.47699486510907
29,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,137.8312602016676
30,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,11.842642424835125
31,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,18.92695410892444
32,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,21.17061609897009
33,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,19.044673046637488
34,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,38.098482606760896
35,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,85.8266156317427
36,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,311.8110537388723
37,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,91.16301283272875
38,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,10.987959518350147
39,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,188.86097148149003
40,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,46.00986892525192
41,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,39.0984363927656
42,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,792.1357911433568
44,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,19.082830704248586
45,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,47.55299017685667
46,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,21.009880327232775
47,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,69.0621079833116
48,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,166.4851087825848
49,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,45.9109520300473
50,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,13.236992014388003
51,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,53.912221797943374
53,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,67.72324906368945
54,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,103.21659470595475
55,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,112.01567383716876
56,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,24.266254512857582
72,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,17.727142777424618
US,2024-11-30,0,2024-11-30,wk inc covid hosp,quantile,0.1,6025.843451603342
01,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,52.67628714806306
02,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,4.56081216239422
04,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,547.9931916259014
05,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,34.559608065928295
06,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,398.63589287072057
08,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,91.26465453455342
09,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,48.32925086760686
10,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,12.281193119642053
11,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,12.171856839572035
12,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,193.4140833171888
13,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,43.68031983234466
15,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,8.897479998350768
16,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,13.042734783402928
17,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,180.28153838678097
18,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,117.11574120511656
19,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,31.408553373735515
20,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,37.153499741065886
21,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,62.31291119972663
22,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,47.08107036683057
23,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,14.95427700198053
24,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,51.67914044194241
25,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,267.7060148773502
26,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,326.0915977871201
27,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,161.29480984757538
28,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,25.832123183813977
29,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,128.46279583741097
30,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,9.347248339159652
31,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,17.995053391801616
32,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,17.46127464274135
33,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,17.902719662872812
34,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,37.388757460666525
35,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,78.97936944509354
36,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,305.36585870714015
37,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,88.27518755732123
38,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,10.22522082196517
39,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,183.22453568879078
40,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,43.308473996695206
41,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,36.00206498883607
42,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,759.8421884253885
44,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,18.335643918574238
45,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,42.73644334597802
46,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,19.541684554896577
47,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,64.00499937498888
48,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,160.00518485093326
49,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,42.999462977545846
50,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,12.908990609203691
51,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,45.31337003268177
53,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,63.500374239783056
54,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,95.92401755328483
55,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,102.57599719885977
56,2024-11-30,1,2024-12-07,wk inc covid hosp,quantile,0.1,24.529861748928916
